language,model,setting,n_scored,f1,brier
en,claude4.5,cot,2400,0.6472553699284009,0.28393333333333337
en,deepseek_deepseek-r1-0528,cot,2400,0.6660761736049602,0.2803333333333333
en,deepseek_deepseek-v3.2-exp,cot,2400,0.644131455399061,0.28153333333333336
en,google_gemma-4-31b-it,cot,2400,0.6361809045226131,0.28535
en,meta-llama_llama-4-maverick,cot,2400,0.6992046276211136,0.2558
en,moonshotai_kimi-k2-thinking,cot,2400,0.65237651444548,0.27981666666666666
en,openai_gpt-5.1,cot,2400,0.6387686387686388,0.27880000000000005
en,qwen_qwen-2.5-72b-instruct,cot,2400,0.644325290437891,0.28863333333333335
en,z-ai_glm-4.6,cot,2400,0.6378220709771512,0.2897166666666667
en,claude4.5,zeroshot,2400,0.653289780681288,0.2762166666666667
en,deepseek_deepseek-r1-0528,zeroshot,2400,0.6524307133121309,0.28495
en,deepseek_deepseek-v3.2-exp,zeroshot,2400,0.649645390070922,0.28314999999999996
en,google_gemma-4-31b-it,zeroshot,2400,0.6334519572953736,0.2872
en,meta-llama_llama-4-maverick,zeroshot,2400,0.6975806451612904,0.2970166666666667
en,moonshotai_kimi-k2-thinking,zeroshot,2400,0.6508379888268156,0.2782
en,openai_gpt-5.1,zeroshot,2400,0.6393046837276678,0.2786
en,qwen_qwen-2.5-72b-instruct,zeroshot,2400,0.6855845629965948,0.2541333333333334
en,z-ai_glm-4.6,zeroshot,2400,0.6232876712328768,0.2945666666666667
zh,claude4.5,cot,2400,0.6498363721365124,0.32105
zh,deepseek_deepseek-r1-0528,cot,2400,0.6545454545454545,0.28876666666666667
zh,deepseek_deepseek-v3.2-exp,cot,2400,0.5976054138469548,0.32288333333333336
zh,google_gemma-4-31b-it,cot,2400,0.47170935080405,0.3763
zh,meta-llama_llama-4-maverick,cot,2400,0.7358184764991896,0.24263333333333337
zh,moonshotai_kimi-k2-thinking,cot,2400,0.5510416666666667,0.34275
zh,openai_gpt-5.1,cot,2400,0.5583377730420884,0.3480166666666667
zh,qwen_qwen-2.5-72b-instruct,cot,2400,0.6392559960841899,0.31883333333333336
zh,z-ai_glm-4.6,cot,2400,0.5561440677966102,0.3472166666666666
zh,claude4.5,zeroshot,2400,0.6744186046511628,0.30465
zh,deepseek_deepseek-r1-0528,zeroshot,2399,0.6503362151777138,0.2893372238432681
zh,deepseek_deepseek-v3.2-exp,zeroshot,2400,0.5854949708840657,0.3287166666666667
zh,google_gemma-4-31b-it,zeroshot,2400,0.46255242660275614,0.3805
zh,meta-llama_llama-4-maverick,zeroshot,2399,0.6410256410256411,0.3004585243851605
zh,moonshotai_kimi-k2-thinking,zeroshot,2400,0.6004036326942482,0.31833333333333336
zh,openai_gpt-5.1,zeroshot,2400,0.5843405149763531,0.3365166666666667
zh,qwen_qwen-2.5-72b-instruct,zeroshot,2399,0.7512974051896207,0.23971654856190086
zh,z-ai_glm-4.6,zeroshot,2399,0.5239933811362383,0.3583159649854106
